Year,Fund Code,Dept Number,Appropriation Authority,Description,Previous Year Grant,Anticipated Grant,Carryover,Year Total
2013,0P16,038,2837,Brownfields Assessment and Cleanup Cooperative Agreements Carryover,,400000,,400000
2013,0P29,038,2842,Public Sector Energy Efficiency Aggregation Program,4400000,3000000,,3000000
2013,0P29,038,2842,Total - 038 - Department of Fleet and Facility Management,15488313,7076363,5784000,12860363
2013,0P29,038,2842,Total - Finance and Administration,51712912,30733227,7280000,38013227
2013,0213,023,2804,Access - NEA,20000,,,
2013,0213,023,2838,IAC - Partners in Excellence,,43000,,43000
2013,0213,023,2839,IAC - Community Arts Access Program,,146000,,146000
2013,0865,023,2800,Mayor's Institute of City Design (Micd),250000,,250000,250000
2013,0P65,023,2829,Farmers Market Grant,,125000,,125000
2013,0P65,023,2841,Market Research,,75000,,75000
2013,0P65,023,2843,30th Anniversary Chicago Blues Festival,,15000,,15000
2013,0P65,023,2844,35th Anniversary Chicago Jazz Festival,,10000,,10000
2013,0P65,023,2845,Loops and Variations Concerts,,30000,,30000
2013,0P72,023,2837,Trust - Update to the City's Cultural Plan,100000,,,
2013,0P72,023,2840,Allstate - Update to the City's Cultural Plan,100000,,,
2013,0P72,023,2846,Made in Chicago World Class Jazz,105000,120000,,120000
2013,0P72,023,2847,Downtown Sound Concert Series,20000,20000,,20000
2013,0P72,023,2848,Summerdance and World Music Festival,25000,20000,,20000
2013,0P72,023,2849,Millenium Park Workouts,100000,100000,,100000
2013,0P72,023,2851,Cultural Fund,,100000,,100000
2013,0P72,023,2852,World Music Festival,5000,50000,,50000
2013,0P72,023,2853,In the Works Theater Lab Series,30000,,,
2013,0P72,023,2855,Chicago Cultural Center Exhibition,,50000,,50000
2013,0P72,023,2857,Creative Placemaking Project,,100000,,100000
2013,0P72,023,2858,Development / Artists Residency Project,,30000,,30000
2013,0P73,023,2859,Chicago Cultural Plan,50000,200000,,200000
2013,0P73,023,2860,Chicago Cultural Center - Randolph Street,,100000,,100000
2013,0P73,023,2860,Total - 023 - Department of Cultural Affairs and Special Events,805000,1334000,250000,1584000
2013,0064,054,2843,2009 Chicago Landmarks Map,24000,,24000,24000
2013,0287,054,2817,Sustainable Industries,693000,,,
2013,0770,054,2839,OSLAD Beidler School Park,575000,,575000,575000
2013,0770,054,2852,Open Space and Land Acquisition (OSLAD),1150000,,,
2013,0K06,054,2828,State Rental Housing Support,8112000,10500000,,10500000
2013,0K11,054,2819,Home Investment Partnership,82191000,17601000,61782000,79383000
2013,0K17,054,2832,Ravenswood Industrial Cooridor,100000,,100000,100000
2013,0K25,054,2815,Neighborhood Stabilization Program 3,15997000,500000,13353000,13853000
2013,0K28,054,2847,Ike Property Buyout Program,328000,,,
2013,0K28,054,2851,Ike Spiegel Lofts and Town Center Project,5500000,,5500000,5500000
2013,0K30,054,2853,Chicago Metropolitan Agency for Planning Energy Grant,1100000,,808000,808000
2013,0K30,054,2856,Sunshot Initiative - Rooftop Solar Challenge,1013000,,822000,822000
2013,0K32,054,2868,Foreclosure Prevention Program,1130000,1130000,1130000,2260000
2013,0K32,054,0K39,Community Development Block Grant,33756169,30347917,,30347917
2013,0K43,054,2863,Choice Neighborhoods Implementation,766000,,766000,766000
2013,0K44,054,2865,Chicago Community Small Grants,25000,,25000,25000
2013,0K45,054,2869,Graham Foundation,,20000,,20000
2013,0K45,054,2871,Richard H. Driehaus Landmarks Exhibit,,15000,,15000
2013,0K45,054,2873,Nationaltrust Preservation Digitization,,5000,,5000
2013,0P27,054,2802,Formerly Incarcerated Entrepreneurship Program,79000,,,
2013,0S73,054,2801,ARRA - Neighborhood Stabilization,24239000,,8010000,8010000
2013,0S73,054,2849,ARRA - Neighborhood Stabilization Program Income,6010000,2000000,,2000000
2013,0S84,054,2806,ARRA - Foreclosure and Deconstruction Program,7027000,,,
2013,0S85,054,2800,ARRA - Neighborhood Stabilization Program 2,87198000,,6500000,6500000
2013,0S85,054,2850,ARRA - Neighborhood Stabilization Program Income,500000,1500000,,1500000
2013,0S85,054,2850,Total - 054 - Department of Housing and Economic Development,277513169,63618917,99395000,163013917
2013,0S85,054,2850,Total - City Development,278318169,64952917,99645000,164597917
2013,0023,041,2720,Underground Storage Tank Inspection,550000,550000,,550000
2013,0050,041,2712,Enhanced Comprehensive HIV Prevention Planning,1692000,,1642000,1642000
2013,0050,041,2814,Sexually Transmitted Disease Prevention,1840000,2295000,240000,2535000
2013,0050,041,2985,STD Surveillance Network Ssun,151000,151000,,151000
2013,0071,041,2871,Dental Sealant,75000,40000,64000,104000
2013,0071,041,2878,Tanning Facilities Inspections,16000,11000,10000,21000
2013,0071,041,2984,Summer Food Program,114000,75000,39000,114000
2013,0071,041,2998,Tattoo and Body Art Piercing,34000,24000,23000,47000
2013,0226,041,2853,Breast and Cervical Cancer Outreach Program,1147000,900000,500000,1400000
2013,0248,041,2804,Childhood Lead Poisoning Prevention,320000,900000,,900000
2013,0260,041,2812,HIV/AIDS Prevention,8550000,9000000,900000,9900000
2013,0260,041,2816,Healthy Start Initiative,925000,925000,,925000
2013,0260,041,2828,AIDS Surveillance & Seroprevalence,1535000,1500000,89000,1589000
2013,0260,041,2887,Morbidity and Risk Behavior Surveillance,497000,497000,,497000
2013,0260,041,2920,Ryan White HIV Care Act - Title III HIV Early Intervention,503000,503000,,503000
2013,0260,041,2978,HIV Behavioral Surveillance,1059000,473000,600000,1073000
2013,0261,041,2724,Immunizations and Vaccines for Children,750000,,750000,750000
2013,0261,041,2727,Immunization Capacity Building Assistance,,1035000,,1035000
2013,0261,041,2820,Immunization and Vaccines for Children,4901000,5900000,140000,6040000
2013,0262,041,2884,Lead Based Paint Hazard Control (Torrens Fund),620000,1014000,,1014000
2013,0263,041,2844,Education/Follow-Up Services in Genetics,132000,132000,,132000
2013,0267,041,2721,Resource Conservation,150000,,150000,150000
2013,0315,041,2960,Mosquito Vector Prevention Program (Tire Funds),765000,765000,,765000
2013,0352,041,2700,Care Van Blue Cross,331000,317000,175000,492000
2013,0352,041,2702,Teen Pregnancy Prevention - Chicago Public Schools,350000,347000,,347000
2013,0352,041,2713,Dating Matters,350000,350000,215000,565000
2013,0352,041,2830,Local Basic Health Protection,2515000,2541000,,2541000
2013,0382,041,2824,Tuberculosis Control,1998000,1842000,,1842000
2013,0517,041,2710,Building Epidemiology and Health IT Capacity,302000,490000,,490000
2013,0517,041,2813,Epidemiology and Laboratory Capacity,290000,300000,,300000
2013,0517,041,2979,Adult Viral Hepatitis,147000,750000,,750000
2013,0563,041,2842,Reach 2010 Racial & Ethnic Approaches to Community Health,441000,,,
2013,0565,041,2832,Refugee & Immigrant Medical Services,504000,,,
2013,0566,041,2808,"Women, Infants and Children Nutrition",4952116,5100000,,5100000
2013,0567,041,2910,Maternal and Child Health Block Grant (MATCH),5168000,5018000,,5018000
2013,0578,041,2932,Housing Opportunities for People with AIDS (HOPWA),6418000,6620000,750000,7370000
2013,0578,041,2961,HOPWA Housing and Health Study Program,1430000,1488000,,1488000
2013,0594,041,2880,Educational Seminars Support,95000,,95000,95000
2013,0595,041,2802,Mental Health - Mental Health Base Grant,761000,2521000,,2521000
2013,0596,041,2936,Substance Abuse Treatment - DASA,654000,670000,,670000
2013,0648,041,2722,Solid Waste Management,250000,250000,,250000
2013,0799,041,2868,Tobacco Free Communities,1259000,1259000,,1259000
2013,0H01,041,2705,Public Health Infrastructure (Component I),300000,300000,76000,376000
2013,0H06,041,2725,Translation Research Program,88000,88000,88000,176000
2013,0H07,041,2726,Community Transformation,300000,300000,,300000
2013,0H90,041,2894,Chicago Family Case Management,2377000,2300000,200000,2500000
2013,0H91,041,2931,Birth to Three Assurance Networks,113000,,,
2013,0H92,041,2852,Targeted Intensive Prenatal Case Mgmt,505000,,,
2013,0H93,041,2849,Healthy Families Illinois,247000,247000,,247000
2013,0H97,041,2711,HIV Testing and Prevention Project,143000,,,
2013,0H97,041,2818,Family Planning Grant,799000,,,
2013,0H97,041,0K39,Community Development Block Grant,9811511,9136284,,9136284
2013,0562,041,2806,Ryan White HIV Care Act Title I,26326743,26232849,1200000,27432849
2013,0562,041,2974,Minority AIDS Initiative,1353000,1353000,,1353000
2013,0847,041,2829,Bioterrorism Preparedness Response Planning Grant,12528669,9549602,2000000,11549602
2013,0847,041,2883,Bioterrorism Hospital Preparedness Program,,3875000,,3875000
2013,0847,041,2944,Lead Hazard Reduction Demonstration Program,3000000,,2985000,2985000
2013,0863,041,2722,Solid Waste Management,143000,143000,,143000
2013,0H05,041,2921,Health Services Program Income,10360000,7370702,,7370702
2013,0P12,041,2718,Hazardous Materials Emergency Preparedness (HMEP) Planning,40000,40000,,40000
2013,0P16,041,2714,Air Pollution Control Program,412000,412000,,412000
2013,0P16,041,2717,Chicago Green Healthcare Initiative Carryover,123000,,,
2013,0P16,041,2717,Total - 041 - Department of Public Health,123511039,117900437,12931000,130831437
2013,0P16,045,0K39,Community Development Block Grant,1272620,1229562,,1229562
2013,0P16,045,0K39,Total - 045 - Commission on Human Relations,1272620,1229562,,1229562
2013,0716,048,2805,Substance Abuse & AIDS Prevention for the Hearing Impaired,114000,209000,105000,314000
2013,0716,048,2812,Work Incentive Planning and Assistance,237000,237000,119000,356000
2013,0819,048,2802,Access Chicago Support,75000,,35000,35000
2013,0819,048,2807,Home Modification Program - Chicago Fund Support,102000,100000,80000,180000
2013,0833,048,2800,Amplified Phones Program (Itac/Tty),45000,20000,40000,60000
2013,0833,048,2804,Illustrated Guide,25000,,25000,25000
2013,0833,048,2816,2016 Olympic Fund for Chicago Neighborhoods,27000,,,
2013,0833,048,2817,Disabled Youth Employment Program,50000,20000,30000,50000
2013,0833,048,2830,MOPD Special Initiatives Support,124000,60000,40000,100000
2013,0833,048,0K39,Community Development Block Grant,2687050,2687050,,2687050
2013,0833,048,0K39,Total - 048 - Mayor's Office for People with Disabilities,3486050,3333050,474000,3807050
2013,0066,050,2830,Emergency Shelter - IDHS,4714000,4815000,,4815000
2013,0074,050,2910,Senior Citizens Picnic Support,25000,25000,,25000
2013,0093,050,2820,Longterm Care System Development,56000,56000,,56000
2013,0168,050,2822,Warming Center Program - Service Tax Trust Fund,12000,15000,,15000
2013,0272,050,2814,Mentoring for Systems Youth,34000,,34000,34000
2013,0272,050,2827,Services to Victims of Domestic Violence,238000,238000,,238000
2013,0272,050,2831,Safe Havens - Supervised Visit,,650000,,650000
2013,0272,050,2852,Juvenile Intervention Support,92000,92000,,92000
2013,0529,050,2837,Senior Program Private Contributions,567000,567000,327000,894000
2013,0599,050,2873,Title XX Donated Funds,1101000,1101000,,1101000
2013,0842,050,2923,Chicago Domectic Violence Help Line,364000,364000,,364000
2013,0848,050,2828,Resident Service / Case Management,600000,2940000,,2940000
2013,0866,050,2885,Suportive Housing Program - HUD 2009,319000,,,
2013,0869,050,2838,Shelter Plus Care - HUD 2007,4608000,,3076000,3076000
2013,0869,050,2839,Shelter Plus Care - HUD 2006,2478000,,1561000,1561000
2013,0869,050,2849,Shelter Plus Care - HUD 2008,1080000,,806000,806000
2013,0869,050,2888,Shelter Plus Grant - 2009,2885000,,1950000,1950000
2013,0869,050,2927,Shelter Plus Care,12668000,11573000,380000,11953000
2013,0869,050,2936,Shelter Plus Care,11953000,11573000,11953000,380000
2013,0869,050,2938,Shelter Plus Care,,16392000,,16392000
2013,0878,050,2870,Summer Food Service,1067000,1897000,,1897000
2013,0880,050,2835,Emergency Shelter - HUD,6566000,6566000,3000000,9566000
2013,0884,050,2805,Community Services Block Grant,12809000,12485000,2174000,14659000
2013,0H96,050,2968,Generic Prevention Domestic Violence,181000,181000,,181000
2013,0K24,050,2895,Cities of Service Leadership Grant,62000,,,
2013,0K24,050,0K39,Community Development Block Grant,24912960,24864960,,24864960
2013,0N01,050,2811,Workforce Investment Act - Youth,9377000,,,
2013,0N03,050,2896,CHA Family Supportive Services,1499000,1500000,,1500000
2013,0N06,050,2939,Early Hearing and Detection,11000,,,
2013,0N15,050,2940,One Summer Plus,265000,,,
2013,0P18,050,2817,Cooperative Agreement,22000,22000,,22000
2013,0P36,050,2803,State Senior Companion MATCH,44000,49000,,49000
2013,0P36,050,2815,Foster Grandparents,564000,564000,,564000
2013,0P36,050,2818,State Foster Grandparents,32000,36000,,36000
2013,0P36,050,2868,Senior Companion Project - Action,297000,297000,,297000
2013,0P36,050,2925,Foster Grandparents - Program Income (Agency MATCH),124000,10000,124000,134000
2013,0P37,050,2807,OAA Title V Senior Employment Specialist,598000,1005000,,1005000
2013,0P37,050,2862,State Senior Employment Specialist,20000,19000,,19000
2013,0P38,050,2825,Circuit Breaker/ Pharmaceutical,326000,315000,,315000
2013,0P38,050,2836,Long Term Care Ombudsman,26000,26000,,26000
2013,0P38,050,2843,Flexible Senior Services,32000,,,
2013,0P38,050,2846,Elder Abuse and Neglect,1900000,2000000,,2000000
2013,0P38,050,2919,Money Follows the Person - Long Term Care,33000,33000,,33000
2013,0P38,050,2928,Senior Health Insurance Program,49000,49000,5000,54000
2013,0P38,050,2932,Relatives Raising Children,,20000,,20000
2013,0P38,050,2937,Medicare Improvements for Patients and Providers Act,144000,144000,,144000
2013,0P40,050,2801,OAA Nutrition Program Income - Congregate Meals,1139000,700000,,700000
2013,0P40,050,2802,OAA Nutrition Program Income - Home Delivered Meals,500000,30000,,30000
2013,0P40,050,2903,Area Plan on Aging - State,3460000,4224000,,4224000
2013,0P40,050,2904,Area Plan on Aging - Federal,14930000,14410000,504000,14914000
2013,0P41,050,2816,Senior Fitness Private,108000,150000,60000,210000
2013,0P41,050,2901,Chicago Fund Support - Senior Services,175000,175000,175000,350000
2013,0P41,050,2941,Meals on Wheels,160000,240000,120000,360000
2013,0P47,050,2876,Workforce Investment Act - Adult Program,10530000,,,
2013,0P47,050,2877,Workforce Investment Act - Dislocated Worker,11112000,,,
2013,0P47,050,2912,WIA - Local Incentive Funds,130000,,,
2013,0P61,050,2918,Veterans Directed Home and Community Based Services Programs,4551000,2276000,,2276000
2013,0S80,050,2881,ARRA - Homeless Prevention and Rapid Re-Housing,13000000,,,
2013,0S84,050,2884,ARRA - Neighborhood Cleanup Program,264000,,,
2013,0S93,050,2894,ARRA - Arra - Chronic Disease Nutrition Program,50000,,,
2013,0S94,050,2930,ARRA - Arra - Chronic Disease Self Management,30000,,,
2013,0S95,050,2920,ARRA - Arra - Justice Assistance Grant,150000,,,
2013,0S96,050,2931,ARRA - Arra - Early Learning Mentors Coach,115000,,,
2013,0S97,050,2933,ARRA - Arra - WIA Neg on the Job Training,309000,,,
2013,0585,050,2865,Employ Related Day Care - IDHS,36810242,25874321,,25874321
2013,0890,050,2853,Head Start Supplemental,1761000,1000000,,1000000
2013,0890,050,2856,Early Head Start Supplemental,1638000,750000,,750000
2013,0890,050,2857,Early Head Start Initiative,4924000,6431000,,6431000
2013,0890,050,2860,Head Start,117624697,119495511,,119495511
2013,0890,050,2860,Total - 050 - Department of Family and Support Services,328225899,255093792,26249000,281342792
2013,0815,091,2800,Edgewater Branch - Capital Grant,150000,,,
2013,0815,091,2812,Edgewater Branch Capital Grant,700000,,,
2013,0815,091,2813,Independence Branch Capital,275000,,275000,275000
2013,0815,091,2842,State Capital Construction Program,,10000000,,10000000
2013,0821,091,2803,Cataloging Grant,2000,2000,,2000
2013,0898,091,2895,Illinois Library Development-Per Capita and Area,5390000,6306000,,6306000
2013,0P53,091,2844,Subregional Library for Blind and Physically Handicapped - Talking Book Center,567000,576000,,576000
2013,0P53,091,2844,Total - 091 - Chicago Public Library,7084000,16884000,275000,17159000
2013,0P53,091,2844,Total - Community Services,463579608,394440841,39929000,434369841
2013,0094,057,2835,Building Safe Blocks Initiative,329000,,276000,276000
2013,0094,057,2854,Public Safety Private Support,52000,200000,36000,236000
2013,0094,057,2979,Targeted Law Enforcement,5000,,,
2013,0657,057,2816,Asset Forfeiture - Federal,1597000,2950000,,2950000
2013,0824,057,2844,Violence Against Women - Domestic Violence Protection,192000,207000,,207000
2013,0824,057,2897,Stop Alcohol to Minors,54000,45000,,45000
2013,0845,057,2817,Asset Forfeiture - State,2741000,1265000,,1265000
2013,0P04,057,2882,National Explosives Detection Canine Team Program,682000,758000,,758000
2013,0P04,057,2921,Transit Security,1915000,5066000,,5066000
2013,0P11,057,2919,2007 Byrne Justice Assistance,254000,,,
2013,0P17,057,2898,SFY2007 IDOT Protectors Program,194000,,,
2013,0P17,057,2906,SFY2007 IDOT DUI Strikeforce,600000,599000,,599000
2013,0P17,057,2930,IDOT Crosswalk Enforcement,50000,,,
2013,0P17,057,2987,Injury Prevention Project,,200000,,200000
2013,0P17,057,2992,Pedestrian/Bicycle Safety Project,,104000,,104000
2013,0P19,057,2808,Bulletproof Vests Partnership - BJA,229000,689000,67000,756000
2013,0P19,057,2900,SFY2005 Project Safe Neighborhoods,86000,,,
2013,0P19,057,2901,FY2007 COPS Technology Grant,563000,,563000,563000
2013,0P19,057,2902,FY2007 COPS Methamphetamine Initiative,191000,,22000,22000
2013,0P19,057,2910,Solving Cold Cases with DNA,597000,,580000,580000
2013,0P19,057,2912,Safe Routes to Schools,81000,100000,81000,181000
2013,0P19,057,2925,Secure Our Schools 2008,118000,,118000,118000
2013,0P19,057,2927,Adam Walsh Act Compliance 2008,50000,,,
2013,0P19,057,2936,Comprehensive Anti-Gang Initiative,637000,,,
2013,0P19,057,2948,Juvenile Block Grant,188000,195000,,195000
2013,0P19,057,2952,Weed and Seed Community - Garfield,38000,,,
2013,0P19,057,2953,Predictive Policing,1697000,1500000,1500000,3000000
2013,0P19,057,2961,Solving Cold Cases with DNA,500000,,500000,500000
2013,0P19,057,2967,Human Trafficking Task Force Continuation,40000,,,
2013,0P19,057,2968,IDOT Sustained Traffic Enforcement Program (Step),309000,332000,,332000
2013,0P19,057,2972,Gang Resistance and Education Training,100000,,95000,95000
2013,0P19,057,2973,CHA Altgeld-Riverdale Community (Arc) Partnership,80000,,,
2013,0P19,057,2975,COPS Secure Our Schools,1492000,,1492000,1492000
2013,0P19,057,2984,Criminal Justice Research - Practitioner Fellowship Placement Program,,50000,,50000
2013,0P19,057,2988,Community Based Violence Prevention Demonstration Program,,1500000,,1500000
2013,0P19,057,2989,Illinois Motor Vehicle Theft Prevention,,22000,,22000
2013,0P19,057,2990,Police Leadership Training Program,,66000,,66000
2013,0P19,057,2991,Ballistics Lab Equipment Project,,480000,,480000
2013,0P28,057,2931,Byrne Justice Assistance,655000,,434000,434000
2013,0P42,057,2946,Byrne Memorial Justice Assistance,1900000,,1600000,1600000
2013,0P46,057,2929,Transit Security 2008,6826000,,5300000,5300000
2013,0P46,057,2934,Transit Security Grant,6833000,,6680000,6680000
2013,0P46,057,2976,Transit Security Grant Program,3496000,,3496000,3496000
2013,0P46,057,2980,Transit Security,7579000,,7579000,7579000
2013,0P55,057,2978,Edward Byrne Memorial Justice Assistance Grant,5305000,,2291000,2291000
2013,0P68,057,2985,Edward Byrne Memorial Justice Assistance,4103000,8162000,4103000,12265000
2013,0P69,057,2983,COPS Hiring Program,,3125000,,3125000
2013,0P81,057,2994,Transit Security - NATO Summit Surge Support,261000,,,
2013,0P82,057,2993,REMS Readiness for Emergency Management for Schools Grant - Project Secure,25000,,,
2013,0S15,057,2947,ARRA - Arra Transit Security Grant Program,2396000,,1400000,1400000
2013,0S16,057,2938,ARRA - Arra - Byrne/Justice Assistance Grant (Local),9963000,,3166000,3166000
2013,0S21,057,2956,ARRA - COPS Hiring Recovery Program (Chrp),6752000,,3000000,3000000
2013,0S26,057,2965,ARRA - Arra - Campaign to Break the Code of Silence,434000,,225000,225000
2013,0S26,057,2965,Total - 057 - Department of Police,72189000,27615000,44604000,72219000
2013,0M02,058,2812,Metropolitan Medical Response System (DHS),51000,,,
2013,0M02,058,2826,ComEd - Weather Emergency Grant,50000,,50000,50000
2013,0M02,058,2835,Nextel Frequency Reconfiguration Project,500000,,500000,500000
2013,0M04,058,2841,Port Security 2007,2288000,,,
2013,0M05,058,2843,Urban Area Securities Initiative 2008,10799000,,,
2013,0M05,058,2844,Port Security 2008,966000,,,
2013,0M05,058,2852,Regional Catastrophic Preparedness 2007-2008,3560000,,,
2013,0M05,058,2853,Buffer Zone Protection Program 2008,700000,,,
2013,0M06,058,2856,Metropolitan Medical Response System,237000,,,
2013,0M06,058,2857,Urban Areas Security Initiative,34000000,,,
2013,0M06,058,2859,Regional Catastrophic Preparedness,3617000,,3200000,3200000
2013,0M06,058,2861,Buffer Zone Protection Program 2009,2211000,,,
2013,0M06,058,2873,Port Security Grant 2007 Supplemental,680000,,,
2013,0M08,058,2868,Citizen Corp Program 2010,5000,,,
2013,0M08,058,2869,Buffer Zone Protection Program 2010,1400000,,1400000,1400000
2013,0M08,058,2872,Emergency Operations Center Grant Program,1000000,,955000,955000
2013,0M08,058,2874,Metropolitan Medical Response System 2010,318000,,,
2013,0M08,058,2875,Port Security Grant 2010,841000,,840000,840000
2013,0M08,058,2876,Regional Catastrophic Preparedness Grant Program 2010,3570000,,3570000,3570000
2013,0M08,058,2877,Urban Areas Security Initiative,37110000,,30903996,30903996
2013,0M11,058,2888,Hazard Mitigation,,500000,,500000
2013,0M13,058,2880,Jp Morgan Chase Foundation,845000,,575000,575000
2013,0M14,058,2883,Urban Areas Security Initiative,32006000,,31878659,31878659
2013,0M14,058,2884,Metropolitan Medical Response System,282000,,282000,282000
2013,0M14,058,2885,Regional Catastrophic Preparedness,1282000,,1282000,1282000
2013,0M14,058,2890,Urban Areas Security Initiative,,25000000,,25000000
2013,0M14,058,2893,Video Surveillance Network,1000000,,1000000,1000000
2013,0M14,058,2894,Securing the Cities,,8000000,,8000000
2013,0P81,058,2895,Transit Security - NATO,7500000,,,
2013,0S22,058,2800,ARRA - Arra Port Security Grant Program,2757000,,,
2013,0783,058,2855,Traffic Management Authority Control Aides,229000,,229000,229000
2013,0M39,058,2811,Urban Areas Security Initiative - Phse 3 (ODP),,32000000,,32000000
2013,0M39,058,2820,Emergency Management Assistance Grant,,630000,,630000
2013,0M39,058,2831,Port Security Grant,169000,4067000,169000,4236000
2013,0M39,058,2831,Total - 058 - Office of Emergency Management and Communications,149973000,70197000,76834655,147031655
2013,0790,059,2812,Assistance to Fire Fighters,3736000,2750000,1144000,3894000
2013,0825,059,2810,Fire Academy Training & Improvement,6223000,2221000,3200000,5421000
2013,0S27,059,2923,ARRA - Arra - Firefighters Fire Station Construction,4800000,,,
2013,0S27,059,2923,Total - 059 - Fire Department,14759000,4971000,4344000,9315000
2013,0S27,059,2923,Total - Public Safety,236921000,102783000,125782655,228565655
2013,,067,0K39,Community Development Block Grant,6810311,6568360,,6568360
2013,,067,0K39,Total - 067 - Department of Buildings,6810311,6568360,,6568360
2013,0K03,070,2801,Tobacco Enforcement Grant,398000,361000,171000,532000
2013,0P20,070,2815,Cable Local Origination,414000,425000,,425000
2013,0P20,070,2815,Total - 070 - Department of Business Affairs and Consumer Protection,812000,786000,171000,957000
2013,0P20,070,2815,Total - Regulatory,7622311,7354360,171000,7525360
2013,0006,084,2932,Bus and Bus Facilities Discretionary Program,24650000,,,
2013,0011,084,2964,Hegewish Marsh - Ecology for All,100000,,100000,100000
2013,0017,084,2836,Bridge Funds (HBRRP) - State,,1000000,,1000000
2013,0017,084,2864,DCEO Grant - Roadway Beautification and Enhancement Projects,2364000,3260000,,3260000
2013,0017,084,2906,Major Bridge,,2240000,,2240000
2013,0017,084,2958,Stp Construction - State - Bridges and Transit,,593000,,593000
2013,0027,084,2931,Surface Transportation Program - Priority,,2815000,,2815000
2013,0283,084,2921,Safe Routes to School,,1578000,,1578000
2013,0283,084,2924,Highway Bridge Program (Hbp),106200000,,,
2013,0283,084,2925,Highway Safety Improvement Program,,1425000,,1425000
2013,0385,084,2835,Bridge Funds (HBRRP) - Federal,,4000000,,4000000
2013,0385,084,2880,Bridge Maintenance,600000,600000,,600000
2013,0597,084,2801,IDOT Funds-Arterial Streets,40657000,60480000,,60480000
2013,0597,084,2847,IDOT Funds,1500000,,,
2013,0598,084,2837,Chicago Bicycle Safety Initiative,309000,385000,,385000
2013,0598,084,2926,Bicycle Parking Donations Program,,150000,,150000
2013,0598,084,2970,Chicago Bike Sharing Program,,4000000,,4000000
2013,0636,084,2803,Surface Transportation Enhancement - State,,400000,,400000
2013,0636,084,2851,Surface Transportation Program - Construction,,1600000,,1600000
2013,0702,084,2868,Wrigleyville Community Safety Cleanliness Project,129000,129000,,129000
2013,0724,084,2809,Transportation Equity Act 21st Century (TEA 21) - State,400000,,,
2013,0724,084,2843,Transportation Equity Act 21st Century (TEA 21),1603000,,,
2013,0772,084,2825,Transportation Planning,1673000,768000,,768000
2013,0772,084,2968,Chicago Metropolitan Agency for Planning (CMAP Local Assistance Program,,100000,,100000
2013,0774,084,2815,Vertical Clearance Improvement,,4140000,,4140000
2013,0781,084,2820,Surface Transportation Program - Construction - Federal,34588000,108915000,,108915000
2013,0781,084,2945,Surface Transportation Program - Construction - State,7110000,10912000,,10912000
2013,0784,084,2805,Congestion Mitigation Air Quality-Federal,115847000,151378000,,151378000
2013,0784,084,2814,Congestion Mitigation Air Quality - State,2982000,5983000,,5983000
2013,0816,084,2969,Jeffrey Bus Rapid Transit (BRT) Project,6500000,,,
