Year,Fund Code,Dept Number,Appropriation Authority,Appropriation Account,Appropriation Account Description,Recommendation,Previous Year Revised,Previous Year Appropriation,Earlier Year Expenditures
2013,0100,005,2005,0005,Salaries and Wages - on Payroll,1555518,1544126,1544126,2099228
2013,0100,005,2005,0015,Schedule Salary Adjustments,4022,3146,3146,
2013,0100,005,2005,0039,For the Employment of Students as Trainees,37500,37500,37500,2725
2013,0100,005,2005,0000,Personnel Services - Total*,1597040,1584772,1584772,2101953
2013,0100,005,2005,0100,Contractual Services,,,,
2013,0100,005,2005,0130,Postage,3500,3500,3500,3288
2013,0100,005,2005,0140,For Professional and Technical Services and Other Third,4500,4500,4500,2380
2013,0100,005,2005,0152,Advertising,2000,2000,2000,800
2013,0100,005,2005,0157,Rental of Equipment and Services,15000,19000,19000,16414
2013,0100,005,2005,0169,Technical Meeting Costs,1000,1000,1000,220
2013,0100,005,2005,0181,Mobile Communication Services,7500,4000,4000,4123
2013,0100,005,2005,0190,Telephone - Centrex Billing,20000,26000,26000,31952
2013,0100,005,2005,0197,Telephone - Maintenance and Repair of,4000,8000,8000,8000
2013,0100,005,2005,0100,Contractual Services - Total*,57500,68000,68000,67177
2013,0100,005,2005,0200,Travel,,,,
2013,0100,005,2005,0245,Reimbursement to Travelers,500,1000,500,56
2013,0100,005,2005,0270,Local Transportation,1000,500,1000,243
2013,0100,005,2005,0200,Travel - Total*,1500,1500,1500,299
2013,0100,005,2005,0300,Commodities and Materials,,,,
2013,0100,005,2005,0348,Books and Related Material,650,650,650,310
2013,0100,005,2005,0350,Stationery and Office Supplies,5400,5400,5400,3549
2013,0100,005,2005,0300,Commodities and Materials - Total*,6050,6050,6050,3859
2013,0100,005,2005,,Appropriation Total*,1662090,1660322,1660322,2173288
2013,0100,006,2005,0000,Personnel Services,,,,
2013,0100,006,2005,0005,Salaries and Wages - on Payroll,7174047,6566228,6566228,7033142
2013,0100,006,2005,0015,Schedule Salary Adjustments,8542,13720,13720,
2013,0100,006,2005,0000,Personnel Services - Total*,7182589,6579948,6579948,7033142
2013,0100,006,2005,0100,Contractual Services,,,,
2013,0100,006,2005,0130,Postage,1027000,2000,2000,1432
2013,0100,006,2005,0138,For Professional Services for Information Technology,5406518,5431438,5431438,6992828
2013,0100,006,2005,0149,For Software Maintenance and Licensing,6313518,5280494,5280494,5285390
2013,0100,006,2005,0162,Repair/Maintenance of Equipment,392500,320408,320408,519364
2013,0100,006,2005,0166,"Dues, Subscriptions and Memberships",29500,29100,29100,18563
2013,0100,006,2005,0169,Technical Meeting Costs,36600,47850,47850,42763
2013,0100,006,2005,0181,Mobile Communication Services,1718660,41760,41760,46839
2013,0100,006,2005,0186,Pagers,8700,7400,7400,4021
2013,0100,006,2005,0190,Telephone - Centrex Billing,215000,65000,65000,67725
2013,0100,006,2005,0196,Data Circuits,960320,960320,960320,1089819
2013,0100,006,2005,0197,Telephone - Maintenance and Repair of,18000,24000,24000,24321
2013,0100,006,2005,0100,Contractual Services - Total*,16126316,12209770,12209770,14093065
2013,0100,006,2005,0200,Travel,,,,
2013,0100,006,2005,0245,Reimbursement to Travelers,3500,5000,5000,744
2013,0100,006,2005,0270,Local Transportation,2500,2500,2500,614
2013,0100,006,2005,0200,Travel - Total*,6000,7500,7500,1358
2013,0100,006,2005,0300,Commodities and Materials,,,,
2013,0100,006,2005,0340,Material and Supplies,17300,19300,19300,18102
2013,0100,006,2005,0348,Books and Related Material,3000,3000,3000,2471
2013,0100,006,2005,0350,Stationery and Office Supplies,7500,11500,11500,10287
2013,0100,006,2005,0300,Commodities and Materials - Total*,27800,33800,33800,30860
2013,0100,006,2005,,Appropriation Total*,23342705,18831018,18831018,21158425
2013,0100,015,2005,0000,Personnel Services,,,,
2013,0100,015,2005,0005,Salaries and Wages - on Payroll,6276040,6252503,6252503,5965310
2013,0100,015,2005,0017,Salary Allowance for Three Full-Time Salaried Employees,8624844,8824200,8824200,8152699
2013,0100,015,2005,0039,For the Employment of Students as Trainees,140000,140000,140000,106463
2013,0100,015,2005,0000,Personnel Services - Total*,15040884,15216703,15216703,14224472
2013,0100,015,2005,0100,Contractual Services,,,,
2013,0100,015,2005,0181,Mobile Communication Services,1400,1540,1540,1651
2013,0100,015,2005,0190,Telephone - Centrex Billing,68000,85000,85000,86967
2013,0100,015,2005,0197,Telephone - Maintenance and Repair of,6000,6500,6500,6500
2013,0100,015,2005,0100,Contractual Services - Total*,75400,93040,93040,95118
2013,0100,015,2005,0200,Travel,,,,
2013,0100,015,2005,0245,Reimbursement to Travelers,6000,6000,6000,
2013,0100,015,2005,0200,Travel - Total*,6000,6000,6000,
2013,0100,015,2005,0700,Contingencies,43000,43000,43000,44433
2013,0100,015,2005,0900,Specific Purposes - Financial,,,,
2013,0100,015,2005,0982,For Expense in Connection with Recognition and Awards to,1000,1000,1000,
2013,0100,015,2005,0900,Specific Purposes - Financial - Total,1000,1000,1000,
2013,0100,015,2005,9000,Specific Purpose - General,,,,
2013,0100,015,2005,9001,For the Employment of Personnel as Needed by the,1326000,1326000,1326000,13918
2013,0100,015,2005,9008,Aldermanic Expense Allowance for Ordinary and Necessary,3664000,3664000,3664000,3399915
2013,0100,015,2005,9010,"For Legal, Technical, Medical and Professional Services,",92072,92072,92072,33980
2013,0100,015,2005,9072,Contingent and Other Expenses for Corporate Purposes Not,4000,4000,4000,990
2013,0100,015,2005,9000,Specific Purpose - General - Total,5086072,5086072,5086072,3448803
2013,0100,015,2005,,Appropriation Total*,20252356,20445815,20445815,17812826
2013,0100,015,2010,0000,Personnel Services,,,,
2013,0100,015,2010,0005,Salaries and Wages - on Payroll,1720868,1698740,1698740,1795597
2013,0100,015,2010,0000,Personnel Services - Total*,1720868,1698740,1698740,1795597
2013,0100,015,2010,0100,Contractual Services,,,,
2013,0100,015,2010,0130,Postage,16000,16000,16000,7088
2013,0100,015,2010,0140,For Professional and Technical Services and Other Third,12500,12500,12500,1620
2013,0100,015,2010,0143,Court Reporting,20000,20000,20000,17656
2013,0100,015,2010,0157,Rental of Equipment and Services,65000,65000,65000,64790
2013,0100,015,2010,0166,"Dues, Subscriptions and Memberships",2000,2000,2000,1245
2013,0100,015,2010,0169,Technical Meeting Costs,2500,2500,2500,1494
2013,0100,015,2010,0190,Telephone - Centrex Billing,19000,23000,23000,30233
2013,0100,015,2010,0197,Telephone - Maintenance and Repair of,3000,4800,4800,4800
2013,0100,015,2010,0100,Contractual Services - Total*,140000,145800,145800,128926
2013,0100,015,2010,0200,Travel,,,,
2013,0100,015,2010,0229,Transportation and Expense Allowance,8000,8000,8000,4768
2013,0100,015,2010,0200,Travel - Total*,8000,8000,8000,4768
2013,0100,015,2010,0300,Commodities and Materials,,,,
2013,0100,015,2010,0340,Material and Supplies,3500,3500,3500,2334
2013,0100,015,2010,0348,Books and Related Material,3000,3000,3000,1790
2013,0100,015,2010,0350,Stationery and Office Supplies,45000,45000,45000,38790
2013,0100,015,2010,0300,Commodities and Materials - Total*,51500,51500,51500,42914
2013,0100,015,2010,0700,Contingencies,100,100,100,
2013,0100,015,2010,9000,Specific Purpose - General,,,,
2013,0100,015,2010,9005,For the Payment of Legal Fees Pursurant to Sec. 2-152-170,50000,50000,50000,40000
2013,0100,015,2010,9006,For Legal Assistance to the City Council. to Be Expended at,50000,50000,50000,10677
2013,0100,015,2010,9010,"For Legal, Technical, Medical and Professional Services,",92500,92500,92500,49197
2013,0100,015,2010,9000,Specific Purpose - General - Total,192500,192500,192500,99874
2013,0100,015,2010,,Appropriation Total*,2112968,2096640,2096640,2072079
2013,0100,015,2214,0000,Personnel Services,468750,468750,468750,514731
2013,0100,015,2214,0100,Contractual Services,15000,15000,15000,14326
2013,0100,015,2214,0300,Commodities and Materials,12000,12000,12000,12760
2013,0100,015,2214,0400,Equipment,9500,9500,9500,14898
2013,0100,015,2214,0700,Contingencies,15000,15000,15000,18778
2013,0100,015,2214,,Appropriation Total*,520250,520250,520250,575493
2013,0100,015,2220,0000,Personnel Services,102843,102843,102843,82549
2013,0100,015,2220,0100,Contractual Services,200,200,200,20
2013,0100,015,2220,0300,Commodities and Materials,500,500,500,90
2013,0100,015,2220,0700,Contingencies,750,750,750,750
2013,0100,015,2220,,Appropriation Total*,104293,104293,104293,83409
2013,0100,015,2225,0000,Personnel Services,102081,102081,102081,150494
2013,0100,015,2225,0100,Contractual Services,17500,17500,17500,4517
2013,0100,015,2225,0300,Commodities and Materials,500,500,500,148
2013,0100,015,2225,,Appropriation Total*,120081,120081,120081,155159
2013,0100,015,2235,0000,Personnel Services,119289,119289,119289,120719
2013,0100,015,2235,0100,Contractual Services,1000,1000,1000,431
2013,0100,015,2235,0300,Commodities and Materials,1000,1000,1000,6692
2013,0100,015,2235,0700,Contingencies,500,500,500,
2013,0100,015,2235,,Appropriation Total*,121789,121789,121789,127842
2013,0100,015,2240,0000,Personnel Services,87670,87670,87670,71750
2013,0100,015,2240,0100,Contractual Services,200,200,200,
2013,0100,015,2240,0300,Commodities and Materials,800,800,800,
2013,0100,015,2240,0700,Contingencies,500,500,500,79
2013,0100,015,2240,,Appropriation Total*,89170,89170,89170,71829
2013,0100,015,2245,0000,Personnel Services,157960,157960,157960,186327
2013,0100,015,2245,0100,Contractual Services,2000,2000,2000,2000
2013,0100,015,2245,0300,Commodities and Materials,500,500,500,425
2013,0100,015,2245,,Appropriation Total*,160460,160460,160460,188752
2013,0100,015,2255,0000,Personnel Services,107635,107635,107635,95814
2013,0100,015,2255,0100,Contractual Services,1000,1000,1000,
2013,0100,015,2255,0300,Commodities and Materials,500,500,500,4616
2013,0100,015,2255,0700,Contingencies,1000,1000,1000,871
2013,0100,015,2255,,Appropriation Total*,110135,110135,110135,101301
2013,0100,015,2260,0000,Personnel Services,200609,200609,200609,220141
2013,0100,015,2260,0100,Contractual Services,3000,3000,3000,679
2013,0100,015,2260,0700,Contingencies,2000,2000,2000,
2013,0100,015,2260,,Appropriation Total*,205609,205609,205609,220820
2013,0100,015,2275,0000,Personnel Services,305134,305134,305134,401038
2013,0100,015,2275,0100,Contractual Services,5300,5300,5300,5000
2013,0100,015,2275,0300,Commodities and Materials,74700,74700,74700,101610
2013,0100,015,2275,,Appropriation Total*,385134,385134,385134,507648
2013,0100,015,2280,0000,Personnel Services,192406,192406,192406,173350
2013,0100,015,2280,0100,Contractual Services,1550,1550,1550,1698
2013,0100,015,2280,0300,Commodities and Materials,400,400,400,400
2013,0100,015,2280,0700,Contingencies,2150,2150,2150,2130
2013,0100,015,2280,,Appropriation Total*,196506,196506,196506,177578
2013,0100,015,2286,0000,Personnel Services,88098,86098,88098,68680
2013,0100,015,2286,0300,Commodities and Materials,1000,3000,1000,13226
2013,0100,015,2286,,Appropriation Total*,89098,89098,89098,81906
2013,0100,015,2290,0000,Personnel Services,479312,479312,479312,
2013,0100,015,2290,0100,Contractual Services,30000,30000,30000,
2013,0100,015,2290,0300,Commodities and Materials,5000,5000,5000,
2013,0100,015,2290,,Appropriation Total*,514312,514312,514312,
2013,0100,015,2295,0000,Personnel Services,356209,356209,356209,366255
2013,0100,015,2295,0100,Contractual Services,24000,24000,24000,34798
2013,0100,015,2295,0300,Commodities and Materials,4000,4000,4000,2390
2013,0100,015,2295,,Appropriation Total*,384209,384209,384209,403443
2013,0100,015,2015,0100,Contractual Services,,,,
2013,0100,015,2015,0140,For Professional and Technical Services and Other Third,260000,260000,60000,37694
2013,0100,015,2015,0100,Contractual Services - Total*,260000,260000,60000,37694
2013,0100,015,2015,,Appropriation Total*,260000,260000,60000,37694
2013,0100,025,2005,0000,Personnel Services,,,,
2013,0100,025,2005,0005,Salaries and Wages - on Payroll,2363800,2327479,2327479,2256455
2013,0100,025,2005,0015,Schedule Salary Adjustments,7678,6743,6743,
2013,0100,025,2005,0020,Overtime,72000,72000,72000,145334
2013,0100,025,2005,0000,Personnel Services - Total*,2443478,2406222,2406222,2401789
2013,0100,025,2005,0100,Contractual Services,,,,
2013,0100,025,2005,0130,Postage,5000,5000,5000,61078
2013,0100,025,2005,0140,For Professional and Technical Services and Other Third,104160,85300,85300,
2013,0100,025,2005,0150,Publications and Reproduction - Outside Services to Be,12738,13485,13485,8472
2013,0100,025,2005,0152,Advertising,31450,31450,31450,29560
2013,0100,025,2005,0159,Lease Purchase Agreements for Equipment and Machinery,229296,186854,186854,239462
2013,0100,025,2005,0162,Repair/Maintenance of Equipment,10610,10610,10610,9366
2013,0100,025,2005,0190,Telephone - Centrex Billing,32000,32500,32500,47630
2013,0100,025,2005,0197,Telephone - Maintenance and Repair of,5000,6000,6000,5700
2013,0100,025,2005,0100,Contractual Services - Total*,430254,371199,371199,401268
2013,0100,025,2005,0300,Commodities and Materials,,,,
2013,0100,025,2005,0350,Stationery and Office Supplies,59310,74540,74540,101382
2013,0100,025,2005,0300,Commodities and Materials - Total*,59310,74540,74540,101382
2013,0100,025,2005,,Appropriation Total*,2933042,2851961,2851961,2904439
2013,0100,027,2011,0000,Personnel Services,,,,
2013,0100,027,2011,0005,Salaries and Wages - on Payroll,3034443,3013495,3013495,
2013,0100,027,2011,0011,Contract Wage Increment - Salary,91510,,,
2013,0100,027,2011,0015,Schedule Salary Adjustments,7825,9165,9165,
2013,0100,027,2011,0020,Overtime,4700,4700,4700,
2013,0100,027,2011,0000,Personnel Services - Total*,3138478,3027360,3027360,
2013,0100,027,2011,0100,Contractual Services,,,,
2013,0100,027,2011,0130,Postage,7748,10248,10248,
2013,0100,027,2011,0140,For Professional and Technical Services and Other Third,64668,67068,67068,
2013,0100,027,2011,0149,For Software Maintenance and Licensing,18800,18800,18800,
2013,0100,027,2011,0150,Publications and Reproduction - Outside Services to Be,1250,1250,1250,
2013,0100,027,2011,0157,Rental of Equipment and Services,33412,33412,33412,
2013,0100,027,2011,0162,Repair/Maintenance of Equipment,4051,4051,4051,
2013,0100,027,2011,0166,"Dues, Subscriptions and Memberships",7400,7000,7000,
2013,0100,027,2011,0169,Technical Meeting Costs,570,570,570,
2013,0100,027,2011,0181,Mobile Communication Services,5300,710,710,
2013,0100,027,2011,0186,Pagers,,200,200,
2013,0100,027,2011,0190,Telephone - Centrex Billing,112000,169500,169500,
2013,0100,027,2011,0196,Data Circuits,7200,8000,8000,
2013,0100,027,2011,0197,Telephone - Maintenance and Repair of,39000,41100,41100,
2013,0100,027,2011,0100,Contractual Services - Total*,301399,361909,361909,
2013,0100,027,2011,0200,Travel,,,,
2013,0100,027,2011,0245,Reimbursement to Travelers,1200,1200,1200,
2013,0100,027,2011,0270,Local Transportation,600,600,600,
2013,0100,027,2011,0200,Travel - Total*,1800,1800,1800,
2013,0100,027,2011,0300,Commodities and Materials,,,,
2013,0100,027,2011,0348,Books and Related Material,4300,4300,4300,
2013,0100,027,2011,0350,Stationery and Office Supplies,22700,37900,37900,
2013,0100,027,2011,0300,Commodities and Materials - Total*,27000,42200,42200,
2013,0100,027,2011,,Appropriation Total*,3468677,3433269,3433269,
2013,0100,027,2012,0000,Personnel Services,,,,
2013,0100,027,2012,0005,Salaries and Wages - on Payroll,3297134,3502910,3502910,
2013,0100,027,2012,0015,Schedule Salary Adjustments,20445,14675,14675,
2013,0100,027,2012,0020,Overtime,10000,10000,10000,
2013,0100,027,2012,0000,Personnel Services - Total*,3327579,3527585,3527585,
2013,0100,027,2012,0100,Contractual Services,,,,
2013,0100,027,2012,0130,Postage,16700,16700,16700,
2013,0100,027,2012,0140,For Professional and Technical Services and Other Third,80100,88800,88800,
2013,0100,027,2012,0142,Accounting and Auditing,603863,600000,600000,
2013,0100,027,2012,0150,Publications and Reproduction - Outside Services to Be,14561,14561,14561,
2013,0100,027,2012,0157,Rental of Equipment and Services,13396,13396,13396,
2013,0100,027,2012,0162,Repair/Maintenance of Equipment,1050,1050,1050,
2013,0100,027,2012,0166,"Dues, Subscriptions and Memberships",1800,1800,1800,
2013,0100,027,2012,0169,Technical Meeting Costs,52924,5982,5982,
2013,0100,027,2012,0189,Telephone - Non-Centrex Billings,,450,450,
2013,0100,027,2012,0190,Telephone - Centrex Billing,15000,16000,16000,
2013,0100,027,2012,0197,Telephone - Maintenance and Repair of,2500,3400,3400,
2013,0100,027,2012,0100,Contractual Services - Total*,801894,762139,762139,
2013,0100,027,2012,0200,Travel,,,,
2013,0100,027,2012,0245,Reimbursement to Travelers,3000,4000,4000,
2013,0100,027,2012,0270,Local Transportation,825,825,825,
2013,0100,027,2012,0200,Travel - Total*,3825,4825,4825,
2013,0100,027,2012,0300,Commodities and Materials,,,,
2013,0100,027,2012,0348,Books and Related Material,600,600,600,
2013,0100,027,2012,0350,Stationery and Office Supplies,20000,26840,26840,
2013,0100,027,2012,0300,Commodities and Materials - Total*,20600,27440,27440,
2013,0100,027,2012,,Appropriation Total*,4153898,4321989,4321989,
2013,0100,027,2015,0000,Personnel Services,,,,
2013,0100,027,2015,0005,Salaries and Wages - on Payroll,5395640,5355534,5355534,
2013,0100,027,2015,0015,Schedule Salary Adjustments,21731,18096,18096,
2013,0100,027,2015,0039,For the Employment of Students as Trainees,40000,,,
2013,0100,027,2015,0000,Personnel Services - Total*,5457371,5373630,5373630,
2013,0100,027,2015,0100,Contractual Services,,,,
2013,0100,027,2015,0130,Postage,302860,129360,129360,
2013,0100,027,2015,0138,For Professional Services for Information Technology,155000,,,
2013,0100,027,2015,0140,For Professional and Technical Services and Other Third,3506984,,,
2013,0100,027,2015,0149,For Software Maintenance and Licensing,344800,28800,28800,
2013,0100,027,2015,0150,Publications and Reproduction - Outside Services to Be,302181,50181,50181,
2013,0100,027,2015,0152,Advertising,7800,6800,6800,
2013,0100,027,2015,0157,Rental of Equipment and Services,25000,,,
2013,0100,027,2015,0162,Repair/Maintenance of Equipment,55796,25200,25200,
2013,0100,027,2015,0166,"Dues, Subscriptions and Memberships",5442,1442,1442,
2013,0100,027,2015,0169,Technical Meeting Costs,9885,2385,2385,
2013,0100,027,2015,0197,Telephone - Maintenance and Repair of,21000,4050,4050,
2013,0100,027,2015,0100,Contractual Services - Total*,4736748,248218,248218,
2013,0100,027,2015,0200,Travel,,,,
2013,0100,027,2015,0245,Reimbursement to Travelers,3338,338,338,
2013,0100,027,2015,0270,Local Transportation,8750,8050,8050,
2013,0100,027,2015,0200,Travel - Total*,12088,8388,8388,
2013,0100,027,2015,0300,Commodities and Materials,,,,
2013,0100,027,2015,0340,Material and Supplies,53900,,,
2013,0100,027,2015,0348,Books and Related Material,2100,900,900,
2013,0100,027,2015,0350,Stationery and Office Supplies,26900,13300,13300,
2013,0100,027,2015,0300,Commodities and Materials - Total*,82900,14200,14200,
2013,0100,027,2015,,Appropriation Total*,10289107,5644436,5644436,
2013,0100,027,2020,0000,Personnel Services,,,,
2013,0100,027,2020,0005,Salaries and Wages - on Payroll,20754867,18190423,18190423,
2013,0100,027,2020,0012,Contract Wage Increment - Prevailing Rate,46859,46709,46709,
2013,0100,027,2020,0015,Schedule Salary Adjustments,108681,106598,106598,
2013,0100,027,2020,0020,Overtime,53468,50602,57394,
2013,0100,027,2020,0039,For the Employment of Students as Trainees,15000,6792,,
2013,0100,027,2020,0091,Uniform Allowance,110750,99000,99000,
2013,0100,027,2020,0000,Personnel Services - Total*,21089625,18500124,18500124,
2013,0100,027,2020,0100,Contractual Services,,,,
2013,0100,027,2020,0125,Office and Building Services,5000,17800,17800,
2013,0100,027,2020,0130,Postage,115627,82627,82627,
2013,0100,027,2020,0138,For Professional Services for Information Technology,17104000,16581304,16581304,
2013,0100,027,2020,0140,For Professional and Technical Services and Other Third,4054310,3777213,3777213,
2013,0100,027,2020,0149,For Software Maintenance and Licensing,121863,121363,121863,
2013,0100,027,2020,0150,Publications and Reproduction - Outside Services to Be,12500,12500,12500,
2013,0100,027,2020,0152,Advertising,7200,7200,7200,
2013,0100,027,2020,0156,Lock Box Rental,16828,16828,16828,
2013,0100,027,2020,0157,Rental of Equipment and Services,119000,110000,110000,
2013,0100,027,2020,0162,Repair/Maintenance of Equipment,787739,599649,599649,
2013,0100,027,2020,0166,"Dues, Subscriptions and Memberships",100,100,100,
2013,0100,027,2020,0169,Technical Meeting Costs,9244,10194,10194,
2013,0100,027,2020,0178,Freight and Express Charges,2220,2220,2220,
2013,0100,027,2020,0179,Messenger Service,50000,74685,74685,
2013,0100,027,2020,0181,Mobile Communication Services,170000,215868,214968,
2013,0100,027,2020,0186,Pagers,,,400,
2013,0100,027,2020,0189,Telephone - Non-Centrex Billings,9000,12000,12000,
2013,0100,027,2020,0190,Telephone - Centrex Billing,83000,134000,134000,
2013,0100,027,2020,0196,Data Circuits,35700,50794,50794,
2013,0100,027,2020,0197,Telephone - Maintenance and Repair of,120000,127000,127000,
2013,0100,027,2020,0100,Contractual Services - Total*,22823331,21953345,21953345,
2013,0100,027,2020,0200,Travel,,,,
2013,0100,027,2020,0228,Out of Town Travel for Auditors Only,6000,12000,12000,
2013,0100,027,2020,0229,Transportation and Expense Allowance,22995,20650,20650,
2013,0100,027,2020,0270,Local Transportation,4226,9151,9151,
2013,0100,027,2020,0200,Travel - Total*,33221,41801,41801,
2013,0100,027,2020,0300,Commodities and Materials,,,,
2013,0100,027,2020,0339,Revenue Stamps,79500,65500,65500,
2013,0100,027,2020,0348,Books and Related Material,600,1500,1500,
2013,0100,027,2020,0350,Stationery and Office Supplies,195962,224009,224009,
2013,0100,027,2020,0300,Commodities and Materials - Total*,276062,291009,291009,
2013,0100,027,2020,,Appropriation Total*,44222239,40786279,40786279,
2013,0100,028,2005,0000,Personnel Services,,,,
2013,0100,028,2005,0005,Salaries and Wages - on Payroll,1777271,1761807,1761807,1686424
2013,0100,028,2005,0015,Schedule Salary Adjustments,10749,8608,8608,
2013,0100,028,2005,0039,For the Employment of Students as Trainees,19900,19900,19900,
2013,0100,028,2005,0000,Personnel Services - Total*,1807920,1790315,1790315,1686424
2013,0100,028,2005,0100,Contractual Services,,,,
2013,0100,028,2005,0130,Postage,2500,2500,2500,504
2013,0100,028,2005,0137,Accounting and Auditing,100000,100000,100000,90000
2013,0100,028,2005,0138,For Professional Services for Information Technology,16000,16000,16000,6247
2013,0100,028,2005,0140,For Professional and Technical Services and Other Third,220000,200000,200000,219588
2013,0100,028,2005,0162,Repair/Maintenance of Equipment,10104,10104,10104,6706
2013,0100,028,2005,0166,"Dues, Subscriptions and Memberships",70205,70205,70205,55107
2013,0100,028,2005,0169,Technical Meeting Costs,2650,2650,2650,1428
2013,0100,028,2005,0179,Messenger Service,500,500,500,
2013,0100,028,2005,0181,Mobile Communication Services,1300,1300,1300,1096
2013,0100,028,2005,0189,Telephone - Non-Centrex Billings,2900,2900,2900,721
2013,0100,028,2005,0190,Telephone - Centrex Billing,12000,12000,12000,14998
2013,0100,028,2005,0196,Data Circuits,1800,1800,1800,1827
2013,0100,028,2005,0197,Telephone - Maintenance and Repair of,2000,2000,2000,2000
2013,0100,028,2005,0100,Contractual Services - Total*,441959,421959,421959,400222
2013,0100,028,2005,0200,Travel,,,,
2013,0100,028,2005,0270,Local Transportation,975,975,975,1417
2013,0100,028,2005,0200,Travel - Total*,975,975,975,1417
2013,0100,028,2005,0300,Commodities and Materials,,,,
2013,0100,028,2005,0350,Stationery and Office Supplies,6500,10000,10000,7186
2013,0100,028,2005,0300,Commodities and Materials - Total*,6500,10000,10000,7186
2013,0100,028,2005,,Appropriation Total*,2257354,2223249,2223249,2095249
2013,0100,030,2005,0000,Personnel Services,,,,
2013,0100,030,2005,0005,Salaries and Wages - on Payroll,2805899,2797681,2797681,2607239
